document,line,claim_text,claim_text_sha256,metric,value,run_or_file,status,match_result,classification
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,1,# Phase 3 protocol-affected evidence notice (2026-07-22),4e95d3aa19a4d245268a21c86307713e7f63fb6febbcfadc816b68c4cd6ccfdf,quantitative statement or design constant,3;2026;-07;-22,phase3_postinv/;phase3_download/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,3,"**Status: binding withdrawal notice, committed before the Phase 3 protocol-v2 rerun.**",15b5898974c2af5349cce09ba6da7630d97a5ba6ff2e8116c88c769614833d95,quantitative statement or design constant,3,docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,5,"Phase 3's exposure to the protocol-v1 defect classes is narrower than Phase 1's,",7aabd71d0203780dc7871d22b17ff6b53a04eb88df51f5298799b52a7db3e691,quantitative statement or design constant,3;1,docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,6,"Phase 2's, or Phase 4's, and this notice states both sides precisely.",6912a69e0b2938438e440c9ca899573bb84fe6e9665062635e2092b4027a4dc9,quantitative statement or design constant,2;4,docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,10,versus the ground-truth `blind_delay_ticks = 12`) and deadline compliance,36238a6e34d0a28c8f333b827c9b8ae62d1817c82371bfee4e4b93eb33828b1d,quantitative statement or design constant,12,docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,15,first-goal aggregation have no surface in Phase 3.,0ff624fe3535df478981ef91e272ca13cdad5dc575d3566f7aacec2744e1a01f,quantitative statement or design constant,3,docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,17,**Withdrawn:** every Phase-3 energy figure. The recorded `energy_cost` was a,d8bef5fde12c38cea5122061ce2ae25e9ffc7f6d3ae729ee4cd463d6dcc8002e,quantitative statement or design constant,3,docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,19,"`TotalEnergyCost`), the same defect class (c) that invalidated Phase-1 legacy",29d0dac3f7c49c694e2715c6c80f1fa6e34b052effc6aa46e95008732ac2a452,quantitative statement or design constant,1,docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,"design, chronology, identifier, citation, or non-result quantity",non_result,non_result
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,25,"itself — sat on a timing-noisy input, which is why runs 27621106006 (n=10,",8da6212ce8f42dced9fd337a2138f57132a90ce7c5deb7ab829adee45470a9e9,quantitative statement or design constant,27621106006;10,phase3_postinv/;phase3_download/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
docs/PHASE3_PROTOCOL_AFFECTED_NOTICE_2026-07-22.md,26,"canonical) and 29166356524 (n=10, post-inversion) are reclassified historical",a1ddf2ed05676d0b2be82e069fcf9ba8bf31e73fd5afa3e2a46e4124052b0978,quantitative statement or design constant,29166356524;10,phase3_postinv/;phase3_download/,historical value only; protocol affected,superseded_protocol_affected,historical_protocol_affected
