path,bytes,sha256
ARCHIVE_MANIFEST.md,1225,f1f5a2658d8a33a33bf62339506b1e5f0931356410f81dd44b66c418a25f9271
analysis/out/first_goal_table.csv,234,8f74b88edf38d5a9077d49f8aafa6fbb43a74d49fff416c007d6ece89ac0bfd4
analysis/out/first_goal_wilcoxon.csv,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
analysis/out/learning_curve_lab1.png,110456,7874c444b19f6eec8c31b0be8114d491d32e40d8766bfa38656091ca39e9db4b
analysis/out/learning_curve_lab2.png,195812,de0d638ca79393b61d5bf2725f2ce90931754a0ce2fd7be059fc598d04a35b67
analysis/out/learning_curve_lab3.png,182230,9c1c6cb6e83ccdd496ceb8dc8ad9a89f0e6b9b95a24468e272f2260d441359b9
analysis/out/learning_speed_table.csv,2343,a60d60f9debdd6d53d90958a5ac119a0f2264b2f0d2e2df36422de90e4abdf97
analysis/out/learning_speed_tests.csv,1957,429b3c1536dfa738a969489f65b927ade0dc32df820b6275021a38c0f1a06be5
analysis/out/paired_tests.csv,9341,a4322170cb338051dc89260a8d3225e149e067088c24e2a0f4dbcecae2593035
analysis/out/paired_tests.tex,4265,215fcaa80ec4eafb8ca9870b37017ba7ef3fb623c7ce43f1b7ed69895a3a7dc9
analysis/out/summary_table.csv,1053,939b70b58aade93e3ad0eece934e2d1a8065683a98a9db3304934112fb3af194
analysis/out/summary_table_ci.csv,2361,d30f96518bdf8c035ce79ad05d3714bf39644916703c6330c8bb3a62129c8a48
analysis/out/summary_table_ci.tex,2088,6c009b398bd571c5e379598f4122d6509ff04318776007d96e620cbb4c51e1ad
analysis/out/weakness_heatmap.csv,118,fa9d8b4960f0e8d8c0b75d7a1961230db4bd389107ae8c6273b3ad0f6f8f3402
analysis/out/weakness_heatmap.png,53147,01607e2a39ece2551991eb668ff0e564e9b7a90b43c44bb8926eb419840703bf
benchmark/results_seed1/lab1/ql_false/bench_step_log_ql_false.csv,1936,9e89597e5336dd263b0eaaad2ed64d3695e5708457fbb6015525fdca31938fa0
benchmark/results_seed1/lab1/ql_false/benchmark_results_ql_false.csv,2173,005175423a6b82dc953a1b99295a977d6edf456271c6ad51f15e41d872bc324b
benchmark/results_seed1/lab1/ql_false/coverage_stereotypes_false_lab1.csv,152,13ea8f64156dabda2943526227455b8df57368e9e270860ac062b4e58d82490f
benchmark/results_seed1/lab1/ql_false/coverage_stereotypes_true_lab1.csv,151,d037a10de301da1b573e19ea042b6f31bf2fd69acdce4a41342002d0ab40fc31
benchmark/results_seed1/lab1/ql_false/first_goal_stereotypes_false_lab1.csv,81,aa233d04569b027d1e344f522ecfb104d4c89b8d32bd17f27e8b7b30e5f80fed
benchmark/results_seed1/lab1/ql_false/first_goal_stereotypes_true_lab1.csv,84,1968a494a0d807ab88d740a043c07c07d76bbac389ce75de25ee06650b3b3421
benchmark/results_seed1/lab1/ql_false/iv_stats_stereotypes_false_lab1.json,216,51f06ee4f5e2c5f25014c11780b3041fd00f76024b79577c43a964139b15ec70
benchmark/results_seed1/lab1/ql_false/iv_stats_stereotypes_true_lab1.json,216,51f06ee4f5e2c5f25014c11780b3041fd00f76024b79577c43a964139b15ec70
benchmark/results_seed1/lab1/ql_false/learned_stereotypes_false_lab1.ttl,1223,f165bbcfca9db35fdfc41be77ceaed876d2c1d77ec0303041d6aa2246213865c
benchmark/results_seed1/lab1/ql_false/learned_stereotypes_true_lab1.ttl,1223,cd18c478489be6e83750f5121c1bbcc57f254279c77cc663508aff9219a3983f
benchmark/results_seed1/lab1/ql_false/metrics_stereotypes_false_lab1.csv,12829,f6d289723ff5bca412434bbd6116cfbe91a33bba27e8162b4524d13cc289b38a
benchmark/results_seed1/lab1/ql_false/metrics_stereotypes_true_lab1.csv,12249,d4acfcb8f1403fd4d68257a8e0d8b7fa04b14bf72fd4dda966ff2cff4c5d42fe
benchmark/results_seed1/lab1/ql_false/qtable_final_stereotypes_false_lab1.csv,72,414986e0438453040acb72246beb718ec2d9250d67778ed77d9b1d8a770cf95e
benchmark/results_seed1/lab1/ql_false/qtable_final_stereotypes_false_lab1_trust.csv,28,8b74a8b2125268f80f75eedc1abd409afe252eae534fb6d33fbc9db761089e9b
benchmark/results_seed1/lab1/ql_false/qtable_final_stereotypes_false_lab1_visits.csv,62,891be69d7399833f5e36f93a30b3e9ca109b296ed4cbc8c49abd07c069079696
benchmark/results_seed1/lab1/ql_false/qtable_final_stereotypes_false_lab1_zone1.csv,72,414986e0438453040acb72246beb718ec2d9250d67778ed77d9b1d8a770cf95e
benchmark/results_seed1/lab1/ql_false/qtable_final_stereotypes_true_lab1.csv,206,b9f1d8b7091e7cec877b9ddba0fd9b3d6ca38c5130075120dd2db55d82d6cab3
benchmark/results_seed1/lab1/ql_false/qtable_final_stereotypes_true_lab1_trust.csv,28,8b74a8b2125268f80f75eedc1abd409afe252eae534fb6d33fbc9db761089e9b
benchmark/results_seed1/lab1/ql_false/qtable_final_stereotypes_true_lab1_visits.csv,61,76acf6b99e09d58c61dd597641965921101c77ba38ec12953f98de79df0c9d6a
benchmark/results_seed1/lab1/ql_false/qtable_final_stereotypes_true_lab1_zone1.csv,206,b9f1d8b7091e7cec877b9ddba0fd9b3d6ca38c5130075120dd2db55d82d6cab3
benchmark/results_seed1/lab1/ql_false/trace_bench_ql_false.jsonl,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
benchmark/results_seed1/lab1/ql_true/bench_step_log_ql_true.csv,1936,b1a3d33cec5a8ba6ffe198ae8a016d529a3e4d0c5fc145c77dd8f39363da7cb2
benchmark/results_seed1/lab1/ql_true/benchmark_results_ql_true.csv,2133,75b0e95f25dbb49f43f69224c7453698f914a562784ec99a4eafa77ec5271274
benchmark/results_seed1/lab1/ql_true/coverage_stereotypes_false_lab1.csv,152,13ea8f64156dabda2943526227455b8df57368e9e270860ac062b4e58d82490f
benchmark/results_seed1/lab1/ql_true/coverage_stereotypes_true_lab1.csv,151,d037a10de301da1b573e19ea042b6f31bf2fd69acdce4a41342002d0ab40fc31
