claim_id,stage,product_scope,evidence_label,research_status,claim_text,claim_status,source_ids,source_locators,derivation_method,analysis_script_ref,exact_command,review_status,notes
CLM-S0-001,0,AUDIT_HISTORY,DIRECT,NOT_APPLICABLE,The Stage 0 baseline branch is phase2-fault-detection at full SHA 2aab559a027468b929cdb5bc83fc402519ccefb2.,ACTIVE,SRC-0001,git:2aab559a027468b929cdb5bc83fc402519ccefb2,NONE,NONE,git rev-parse --abbrev-ref HEAD and git rev-parse HEAD,VERIFIED,Repository identity only
CLM-S0-002,0,AUDIT_HISTORY,DIRECT,NOT_APPLICABLE,Before paper_notes was created there were no staged or unstaged tracked-file changes.,ACTIVE,SRC-0001,repository snapshot observed 2026-06-15T11:14:16.7677252Z,NONE,NONE,git diff --name-status and git diff --cached --name-status,VERIFIED,Untracked and ignored files still existed
CLM-S0-003,0,AUDIT_HISTORY,DIRECT,NOT_APPLICABLE,The pre-Stage-0 worktree contained 33 paths reported as untracked by normal Git status.,ACTIVE,SRC-0001,repository snapshot observed 2026-06-15T11:14:16.7677252Z,count of porcelain-v2 question-mark records,NONE,git status --porcelain=v2 --branch --untracked-files=normal,VERIFIED,The count excludes ignored paths and paper_notes created afterward
CLM-S0-004,0,AUDIT_HISTORY,SUPERSEDED,NOT_APPLICABLE,Twelve visible untracked result roots and seven ignored result-like roots were hashed with TREE-SHA256-V1.,SUPERSEDED,SRC-R001;SRC-R002;SRC-R003;SRC-R004;SRC-R005;SRC-R006;SRC-R007;SRC-R008;SRC-R009;SRC-R010;SRC-R011;SRC-R012;SRC-I001;SRC-I002;SRC-I003;SRC-I004;SRC-I005;SRC-I006;SRC-I007,legacy local tree locators in SOURCE_LEDGER.csv,inventory only,NONE,legacy Stage 0 hashing command,VERIFIED_ERROR,Seventeen nested-root hashes used native Windows separators and are superseded by CLM-S0-012; the two flat roots remain valid
CLM-S0-005,0,AUDIT_HISTORY,SUPERSEDED,NOT_APPLICABLE,GitHub Actions run 27529585379 was in progress for workflow Phase 2 at the initial Stage 0 observation.,SUPERSEDED,RUN-27529585379,GitHub Actions run 27529585379 observed 2026-06-15T11:14:16.7677252Z,NONE,NONE,gh run list --workflow phase2.yml --limit 20 --json ...,VERIFIED_MUTABLE_STATUS,Superseded by CLM-S0-008 after the run completed during Stage 0
CLM-S0-006,0,AUDIT_HISTORY,DIRECT,NOT_APPLICABLE,The local tmp_sweep_n10_results tree contains all ten seed directories but lacks six expected TRAINING_OK.json markers and all six omissions are under seed 8.,ACTIVE,SRC-R012,local-tree-sha256:cc145fa6326886acfd8df7a97fcfb4b9b40d8111b62a0b0a40adabd187d94800:tmp_sweep_n10_results,structural expected-path comparison only,NONE,PowerShell Compare-Object over 10 seeds x 3 profiles x 2 stereo modes,VERIFIED,No metric or outcome was evaluated
CLM-S0-007,0,AUDIT_HISTORY,UNRESOLVED,UNRESOLVED,The original advisor-authored notes have not yet been located as an immutable repository or hashed external source.,ACTIVE,SRC-0002,conversation:user request for Stage 0,NONE,NONE,repository and named-document search,OPEN,User-provided quotations remain requirements but need original-source provenance
CLM-S0-008,0,AUDIT_HISTORY,DIRECT,NOT_APPLICABLE,GitHub Actions run 27529585379 completed successfully at 2026-06-15T11:28:30Z on head SHA 2aab559a027468b929cdb5bc83fc402519ccefb2.,ACTIVE,RUN-27529585379,https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27529585379,NONE,NONE,gh run view 27529585379 --json databaseId workflowName event status conclusion headBranch headSha createdAt updatedAt url,VERIFIED,Artifact metadata and the local v4 root were captured later in CLM-S0-013 through CLM-S0-015
CLM-S0-009,0,AUDIT_HISTORY,DIRECT,NOT_APPLICABLE,At the continuation observation the checked-out branch was phase2-fault-detection at 985c7a18558b6d5cb96c018a395b0aae6389f410 with upstream divergence +0/-0.,ACTIVE,SRC-0040,git:985c7a18558b6d5cb96c018a395b0aae6389f410,NONE,NONE,git status --porcelain=v2 --branch --untracked-files=normal; git rev-parse HEAD; git branch --show-current,VERIFIED,Observed at 2026-06-15T13:04:27.3504583Z
CLM-S0-010,0,AUDIT_HISTORY,DIRECT,NOT_APPLICABLE,At the continuation observation there were no staged or unstaged tracked-file changes.,ACTIVE,SRC-0040,repository snapshot observed 2026-06-15T13:04:27.3504583Z,NONE,NONE,git diff --quiet; git diff --cached --quiet,VERIFIED,Untracked and ignored paths still existed
