"evidence_id","product_scope","evidence_label","research_status","claim_or_object","input_sources","metric","value","derivation_method","statistical_integrity_status","analysis_script_ref","exact_command","notes"
"P3T-001","AUDIT_HISTORY;MANUSCRIPT_EVIDENCE","DIRECT","NOT_APPLICABLE","Stage 10A control protocol read","local-sha256:13bcc1aedb7a50cba1e81933017ba229bda2642db059f89ab0938ed9e7d5bd93:paper_notes/00_PROTOCOL.md:L1-L236; local-sha256:26a38dee69a3084e63b91796dad640761cf2948609ff43c663ff083243e2f589:paper_notes/STAGE9_STATISTICAL_INTEGRITY_AUDIT_20260618T092317Z.md:L100-L117","required_stage9_handoff_files","17 listed files","DIRECT_READ_OF_STAGE9_HANDOFF","STAGE10A_INPUT_REQUIREMENT_SATISFIED","NONE","NONE","Stage 10A read the Stage 9 required list; large CSVs were parsed or sampled for row locators rather than treated as prose."
"P3T-002","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION;POST_HOC_EXPLORATORY","Phase 3 motivation: learn process response times, add them to KG, and use temporal goals","local-sha256:dfaa0d69824f99afc55422f384899a9a9ab128a1a50aff9cd0266bbc0635b8e1:C:/Users/esrad/Downloads/advisor_notes_and_other_info.txt:L21-L24; local-sha256:530c856971c8250db4c27f312468a424c24d77f285004594b6d68d9f243b8029:THESIS_PIVOT_MASTER.md:L48-L56","phase3_research_goal","response-delay learning plus KG writeback plus temporal-goal exploitation","DIRECT_SOURCE_READING","MOTIVATION_NOT_RESULT_EVIDENCE","NONE","NONE","Advisor note and pivot master motivate the experiment; they are not numeric result sources."
"P3T-003","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","Phase 3 configured profiles and modes","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:config/run_config.json:L322-L365","profiles;modes;seconds_per_tick;blind_delay_ticks;probes_per_actuator;timebounded_goals","profiles=lab2_slow,lab3_slow; modes=ql_true,ql_false; seconds_per_tick=5.0; blind_delay_ticks=12; probes_per_actuator=8; goals=6","COMMITTED_CONFIG_READING","METHOD_SOURCE","NONE","NONE","The run-head commit is used for executed-method locators."
"P3T-004","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","Phase 3 agent has no Q-table training and uses ql_true/ql_false as planner-delay distinction","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:task_dynamics.jcm:L10-L18; main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/agt/illuminance_controller_agent_dynamics.asl:L41-L49; main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/agt/illuminance_controller_agent_dynamics.asl:L94-L99","planner distinction","ql_true uses learned delay; ql_false assumes zero delay","COMMITTED_SOURCE_READING","METHOD_SOURCE","NONE","NONE","QLearner is used for action-space enumeration, not for Phase 3 policy training."
"P3T-005","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","Probe and KG writeback implementation records response-delay samples and writes TTL/CSV outputs","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/agt/illuminance_controller_agent_dynamics.asl:L213-L238; main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/env/tools/DynamicsLearner.java:L176-L220; main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/env/tools/DynamicsLearner.java:L241-L274","writeback_outputs","learned_dynamics_*.ttl; dynamics_delays_*.csv","COMMITTED_SOURCE_READING","METHOD_SOURCE","NONE","NONE","The domain ontologies define responseDelay as learnable; numeric values are generated by DynamicsLearner."
"P3T-006","MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","Deadline-aware exploit implementation writes one CSV row per time-bounded goal","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/agt/illuminance_controller_agent_dynamics.asl:L403-L469; main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/env/tools/DynamicsLearner.java:L282-L320","timebounded_result_columns","profile,mode,goal_id,zone,target_rank,deadline_sec,chosen_label,believed_delay_sec,learned_delay_sec,actual_delay_sec,energy_cost,met","COMMITTED_SOURCE_READING","METHOD_SOURCE","NONE","NONE","met=1 iff measured actual response delay is within the deadline."
"P3T-007","AUDIT_HISTORY;MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","Phase 3 slow labs expose 12-tick delayed blind dynamics while keeping commanded blind flags in state","main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/resources/building_2_slow.ttl:L22-L44; main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/resources/building_3_slow.ttl:L22-L44; main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:simulator/simulator_flow_lab2_slow.json:L130-L130; main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:simulator/simulator_flow_lab3_slow.json:L130-L130","slow_lab_ground_truth","blind_delay_ticks=12; lab2 states=1024; lab3 states=2048","COMMITTED_SOURCE_READING","METHOD_SOURCE","NONE","NONE","The JSON flow physics lines are long single-line Node-RED function bodies."
"P3T-008","AUDIT_HISTORY","DIRECT","ENGINEERING_VALIDATION","n=10 Phase 3 workflow run metadata","GitHub Actions: workflow=Phase 3 (process dynamics, response-delay learning); run ID=27621106006; URL=https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27621106006; observed_at_utc=2026-06-18T09:59:42Z; head SHA=3bb5289c36cb3093228ec0609fe57ec676b1ee53","status;conclusion;event;attempt;created;updated","status=completed; conclusion=success; event=workflow_dispatch; attempt=1; created=2026-06-16T13:29:35Z; updated=2026-06-16T13:33:10Z","GH_RUN_VIEW","ACTIONS_METADATA_OBSERVED","NONE","gh run view 27621106006 --json databaseId,displayTitle,event,status,conclusion,headBranch,headSha,attempt,createdAt,updatedAt,url,workflowName,jobs","Exact workflow_dispatch input payload was not available from gh run view."
"P3T-009","AUDIT_HISTORY;MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 consolidated artifact metadata","GitHub Actions: workflow=Phase 3 (process dynamics, response-delay learning); run ID=27621106006; run URL=https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27621106006; head SHA=3bb5289c36cb3093228ec0609fe57ec676b1ee53; artifact=phase3-consolidated; artifact_id=7668397627; artifact_digest=sha256:a882677d1689d2f25470591771fd1ef80035de560e837e9ab01857381e9f9416","artifact_count;artifact_size_bytes;artifact_digest","total_artifacts=42; phase3-consolidated size=58495; digest=sha256:a882677d1689d2f25470591771fd1ef80035de560e837e9ab01857381e9f9416","GH_API_ARTIFACTS","ACTIONS_ARTIFACT_METADATA_OBSERVED","NONE","gh api repos/esra-dev/MT-PhysicsBAS/actions/runs/27621106006/artifacts","Local extracted directory has a tree hash, but Stage 10A did not redownload the ZIP to verify byte identity against the digest."
"P3T-010","AUDIT_HISTORY;MANUSCRIPT_EVIDENCE","DIRECT","ENGINEERING_VALIDATION","n=10 results branch publication","origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_delay_accuracy.csv:L1-L5; origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_ci.csv:L1-L5; origin/results@0372ecd5864fa6555ebfce7d05e05d9aaab96994:phase3/27621106006-20260616-133306/analysis_out/phase3_compliance_paired.csv:L1-L9","result_commit;aggregate_rows","commit=0372ecd5864fa6555ebfce7d05e05d9aaab96994; delay_rows=4; compliance_ci_rows=4; paired_rows=8","GIT_SHOW_RESULT_COMMIT","COMMITTED_RESULT_AUTHORITY","NONE","git show --stat --oneline 0372ecd5864fa6555ebfce7d05e05d9aaab96994 -- phase3/27621106006-20260616-133306/analysis_out/*.csv","Commit subject: Phase 3 dynamics results: run 27621106006 (20260616-133306)."
