"bib_id","stage","topic_bucket","product_scope","evidence_label","source_type","primary_status","title","authors","year","venue","doi","arxiv_id","url","source_locator","source_status","project_mapping","notes"
"BIB-S10B-001","10B","MAS_BDI","MANUSCRIPT_EVIDENCE","DIRECT","academic_primary","PRIMARY_VERIFIED_DOI_CROSSREF","AgentSpeak(L): BDI agents speak out in a logical computable language","Anand S. Rao","1996","Lecture Notes in Computer Science / Agents Breaking Away","10.1007/bfb0031845","NOT_APPLICABLE","https://doi.org/10.1007/bfb0031845","DOI:10.1007/bfb0031845; Crossref work metadata observed 2026-06-18T10:46:19Z by command Invoke-RestMethod -Uri https://api.crossref.org/works/10.1007%2FBFb0031845; title/venue/year/page fields returned by Crossref","BIBLIOGRAPHIC_METADATA_VERIFIED; FULL_TEXT_NOT_REVIEWED","Phase 3 uses AgentSpeak/Jason-style BDI plans in src/agt/illuminance_controller_agent_dynamics.asl; project locator main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/agt/illuminance_controller_agent_dynamics.asl:L1-L495","Use as MAS/BDI programming-language foundation; not evidence for project empirical results."
"BIB-S10B-002","10B","MAS_BDI","MANUSCRIPT_EVIDENCE","DIRECT","academic_primary","PRIMARY_VERIFIED_DOI_CROSSREF","Multi-agent oriented programming with JaCaMo","Olivier Boissier; Rafael H. Bordini; Jomi F. Huebner; Alessandro Ricci; Andrea Santi","2013","Science of Computer Programming","10.1016/j.scico.2011.10.004","NOT_APPLICABLE","https://doi.org/10.1016/j.scico.2011.10.004","DOI:10.1016/j.scico.2011.10.004; Crossref work metadata observed 2026-06-18T10:46:19Z by command Invoke-RestMethod -Uri https://api.crossref.org/works/10.1016%2Fj.scico.2011.10.004; title/venue/year/page fields returned by Crossref","BIBLIOGRAPHIC_METADATA_VERIFIED; FULL_TEXT_NOT_REVIEWED","Project is a JaCaMo/CArtAgO-style MAS with agent artifacts; project locators main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/env/tools/DynamicsLearner.java:L1-L366 and main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:task_dynamics.jcm:L1-L25","Use as MAS programming-platform foundation; not evidence for RL or KG claims."
"BIB-S10B-003","10B","Q_LEARNING_BUILDING_AUTOMATION","MANUSCRIPT_EVIDENCE","DIRECT","academic_primary","PRIMARY_VERIFIED_DOI_AND_PUBLISHER_PAGE","Q-learning","Christopher J. C. H. Watkins; Peter Dayan","1992","Machine Learning","10.1007/bf00992698","NOT_APPLICABLE","https://doi.org/10.1007/BF00992698","DOI:10.1007/BF00992698; Springer page https://link.springer.com/article/10.1007/BF00992698:L23-L28,L51-L52,L184-L190; Crossref batch lookup observed 2026-06-18T10:46:19Z","BIBLIOGRAPHIC_AND_ABSTRACT_METADATA_VERIFIED","Phase 1/2 QLearner foundation and Phase 3 action-space reuse; project locator main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/agt/illuminance_controller_agent_dynamics.asl:L41-L49","Use as RL algorithm foundation; convergence assumptions are not automatically satisfied by project implementation."
"BIB-S10B-004","10B","Q_LEARNING_BUILDING_AUTOMATION","MANUSCRIPT_EVIDENCE","DIRECT","academic_primary","PRIMARY_VERIFIED_DOI_AND_PUBLISHER_PAGE","Deep Reinforcement Learning for Building HVAC Control","Tianshu Wei; Yanzhi Wang; Qi Zhu","2017","Proceedings of the 54th Annual Design Automation Conference","10.1145/3061639.3062224","NOT_APPLICABLE","https://doi.org/10.1145/3061639.3062224","DOI:10.1145/3061639.3062224; ACM page https://doi.org/10.1145/3061639.3062224:L51-L60,L111-L114; Crossref batch lookup observed 2026-06-18T10:46:19Z","BIBLIOGRAPHIC_AND_ABSTRACT_METADATA_VERIFIED","Compare as RL-for-building-control baseline family; project differs by KG priors, small lab simulators, BDI agent layer, and illuminance/delay tasks","Do not claim same domain actuator class; source is HVAC control, not illuminance control."
"BIB-S10B-005","10B","Q_LEARNING_BUILDING_AUTOMATION;LEARNED_TEMPORAL_PROCESS_DYNAMICS","MANUSCRIPT_EVIDENCE","DIRECT","academic_primary","PRIMARY_VERIFIED_DOI_ARXIV_CROSSREF","Model-free control of thermostatically controlled loads connected to a district heating network","Bert J. Claessens; Dirk Vanhoudt; Johan Desmedt; Frederik Ruelens","2018","Energy and Buildings","10.1016/j.enbuild.2017.08.052","arXiv:1701.08074","https://doi.org/10.1016/j.enbuild.2017.08.052","DOI:10.1016/j.enbuild.2017.08.052; arXiv page https://arxiv.org/abs/1701.08074:L30-L47; Crossref title lookup observed 2026-06-18T10:46:19Z","BIBLIOGRAPHIC_AND_ABSTRACT_METADATA_VERIFIED","Compare as model-free building-control work with multi-agent/market framing and practical learning time; Phase 3 learns actuator response delay rather than thermal-load dispatch policy","ArXiv abstract includes quantitative days/lower-bound claims; use only with cited arXiv lines if mentioned."
"BIB-S10B-006","10B","Q_LEARNING_BUILDING_AUTOMATION;LEARNED_TEMPORAL_PROCESS_DYNAMICS","MANUSCRIPT_EVIDENCE","DIRECT","academic_primary","PRIMARY_VERIFIED_DOI_ARXIV","Direct load control of thermostatically controlled loads based on sparse observations using deep reinforcement learning","Frederik Ruelens; Bert J. Claessens; Peter Vrancx; Fred Spiessens; Geert Deconinck","2019","CSEE Journal of Power and Energy Systems","10.17775/CSEEJPES.2019.00590","arXiv:1707.08553","https://doi.org/10.17775/CSEEJPES.2019.00590","DOI:10.17775/CSEEJPES.2019.00590; arXiv page https://arxiv.org/abs/1707.08553:L28-L52; Crossref batch lookup observed 2026-06-18T10:46:19Z","BIBLIOGRAPHIC_AND_ABSTRACT_METADATA_VERIFIED","Compare as learning under sparse observations and time-series history; Phase 3 explicitly learns response-delay values and writes them to KG","Not a KG or BDI paper."
"BIB-S10B-007","10B","MAS_BDI;Q_LEARNING_BUILDING_AUTOMATION","MANUSCRIPT_EVIDENCE","DIRECT","academic_primary","PRIMARY_VERIFIED_DOI_ARXIV","Enhancing the Performance of Multi-Agent Reinforcement Learning for Controlling HVAC Systems","Daniel Bayer; Marco Pruckner","2022","IEEE Conference on Technologies for Sustainability","10.1109/SusTech53338.2022.9794179","arXiv:2309.06940","https://doi.org/10.1109/SusTech53338.2022.9794179","DOI:10.1109/SusTech53338.2022.9794179; arXiv page https://arxiv.org/abs/2309.06940:L28-L52; Crossref batch lookup observed 2026-06-18T10:46:19Z","BIBLIOGRAPHIC_AND_ABSTRACT_METADATA_VERIFIED","Compare as MARL building-control work; project uses MAS architecture but not multi-agent RL training in Phase 3","Do not conflate MAS software architecture with MARL."
"BIB-S10B-008","10B","KNOWLEDGE_GRAPH_STEREOTYPE_PRIORS","MANUSCRIPT_EVIDENCE","DIRECT","academic_primary","PRIMARY_VERIFIED_ARXIV","SOSA: A Lightweight Ontology for Sensors, Observations, Samples, and Actuators","Krzysztof Janowicz; Armin Haller; Simon J. D. Cox; Danh Le Phuoc; Maxime Lefrancois","2018","Journal of Web Semantics preprint / W3C-OGC SSN context","NOT VERIFIED","arXiv:1805.09979","https://arxiv.org/abs/1805.09979","arXiv:1805.09979; arXiv page https://arxiv.org/abs/1805.09979:L0-L6,L24-L31,L45-L61","ARXIV_METADATA_AND_TEXT_VERIFIED; DOI_NOT_CONFIRMED_IN_STAGE10B","Project uses RDF/KG actuator metadata and learned responseDelay writeback; project locators main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/env/tools/DynamicsLearner.java:L176-L220 and main@3bb5289c36cb3093228ec0609fe57ec676b1ee53:src/resources/interactions-lab2_slow.ttl:L27-L51","Use for semantic sensor/actuator modeling foundation."
"BIB-S10B-009","10B","KNOWLEDGE_GRAPH_STEREOTYPE_PRIORS","MANUSCRIPT_EVIDENCE","DIRECT","academic_primary","PRIMARY_VERIFIED_DOI_CROSSREF","The SSN ontology of the W3C semantic sensor network incubator group","Michael Compton; Payam Barnaghi; Luis Bermudez; Raul Garcia-Castro; Oscar Corcho; Simon Cox; John Graybeal; Manfred Hauswirth; Cory Henson; Arthur Herzog; Vincent Huang; Krzysztof Janowicz; W. David Kelsey; Danh Le Phuoc; Laurent Lefort; Myriam Leggieri; Holger Neuhaus; Andriy Nikolov; Kevin Page; Alexandre Passant; Amit Sheth; Kerry Taylor","2012","Journal of Web Semantics","10.1016/j.websem.2012.05.003","NOT_APPLICABLE","https://doi.org/10.1016/j.websem.2012.05.003","DOI:10.1016/j.websem.2012.05.003; Crossref batch lookup observed 2026-06-18T10:46:19Z","BIBLIOGRAPHIC_METADATA_VERIFIED; FULL_TEXT_NOT_REVIEWED","Semantic Web foundation for sensor/actuator knowledge representation; project uses custom lab ontology rather than SSN import","Use as background/related-work boundary, not as claim that project conforms to SSN."
"BIB-S10B-010","10B","KNOWLEDGE_GRAPH_STEREOTYPE_PRIORS","MANUSCRIPT_EVIDENCE","DIRECT","academic_primary","PRIMARY_VERIFIED_DOI_CROSSREF","Brick : Metadata schema for portable smart building applications","Bharathan Balaji; Arka Bhattacharya; Gabe Fierro; Jingkun Gao; Joshua Gluck; Dezhi Hong; Aslak Johansen; Jason Koh; Jason Ploennigs; Yuvraj Agarwal; Mario Berges; David Culler; Rajesh K. Gupta; Mikkel Baun Kjaergaard; Mani Srivastava; Kamin Whitehouse","2018","Applied Energy","10.1016/j.apenergy.2018.02.091","NOT_APPLICABLE","https://doi.org/10.1016/j.apenergy.2018.02.091","DOI:10.1016/j.apenergy.2018.02.091; Crossref title lookup observed 2026-06-18T10:46:19Z by query.title=Brick Metadata schema for portable smart building applications","BIBLIOGRAPHIC_METADATA_VERIFIED; FULL_TEXT_NOT_REVIEWED","Compare as smart-building metadata schema; project uses custom RDF stereotypes rather than Brick classes","Candidate DOI 10.1016/j.apenergy.2017.10.091 was rejected as wrong title; see BIB-S10B-REJ-001."
