run_id,stage,phase,experiment_label,workflow,run_url,event,status,conclusion,head_branch,head_sha,run_attempt,created_at_utc,updated_at_utc,job_name,job_id,job_url,artifact_name,artifact_id,artifact_digest,artifact_count,local_root,local_tree_hash,provenance_status,research_status,observed_at_utc,notes
27440842780,0,PHASE1,phase1_kg_xzone_as_is,Phase 1 (KG acceleration clean labs),https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27440842780,workflow_dispatch,completed,success,kg-crosszone-coupling,866297d54750c91f4595962f9c975d2f1704f629,1,2026-06-12T20:21:40Z,2026-06-12T21:10:27Z,,,,phase1-consolidated,,,152,phase1_xzone_asis,75a9c8ccea76c0bd52cef6cd0dad34bf2f4ffe8c13501690b59f8cbe186b52a9,DECLARED_MAPPING_NOT_ZIP_VERIFIED_CANONICAL_HASH,POST_HOC_EXPLORATORY;SUPERSEDED_BY_BUMP;NUMERIC_RESULTS_UNRESOLVED,2026-06-15T13:04:27.3504583Z,Ten seed directories and 60 TRAINING_OK markers structurally present; Stage5 methods classification added 2026-06-17T12:14:13Z; numeric row extraction and artifact ZIP byte verification unresolved
27461188614,0,PHASE1,phase1_kg_xzone_bumped,Phase 1 (KG acceleration clean labs),https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27461188614,workflow_dispatch,completed,success,kg-crosszone-coupling-bump,8a98cd82d64d6e4003c767a2b5a3a6d48a744ad1,1,2026-06-13T08:06:15Z,2026-06-13T08:50:23Z,,,,phase1-consolidated,,,152,phase1_xzone_bumped,e9d706b2f7828bb65bdb9d091269681b0f9acddd263c7d438777340b8a5b5343,DECLARED_MAPPING_NOT_ZIP_VERIFIED_CANONICAL_HASH,POST_HOC_EXPLORATORY;NUMERIC_RESULTS_UNRESOLVED,2026-06-15T13:04:27.3504583Z,Ten seed directories and 60 TRAINING_OK markers structurally present; Stage5 methods classification added 2026-06-17T12:14:13Z; numeric row extraction and artifact ZIP byte verification unresolved
27462446044,0,PHASE1,phase1_kg_xzone_bumped_replication_s11_20,Phase 1 (KG acceleration clean labs),https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27462446044,workflow_dispatch,completed,success,kg-crosszone-coupling-bump,8a98cd82d64d6e4003c767a2b5a3a6d48a744ad1,1,2026-06-13T09:06:20Z,2026-06-13T09:52:27Z,,,,phase1-consolidated,,,154,phase1_xzone_bumped_s11_20,f80a117fac11c1db5ce3d545b04a4e418590f97c66d3ccc8ff44c6c8cc71152e,DECLARED_MAPPING_NOT_ZIP_VERIFIED_CANONICAL_HASH,POST_HOC_EXPLORATORY;PROSPECTIVE_REPLICATION_WITHIN_POST_HOC_LINE;NUMERIC_RESULTS_UNRESOLVED,2026-06-15T13:04:27.3504583Z,Seed directories 11 through 20 and 60 TRAINING_OK markers structurally present; Stage5 methods classification added 2026-06-17T12:14:13Z; numeric row extraction and artifact ZIP byte verification unresolved
27464846574,0,PHASE1,phase1_kg_xzone_randomized_ablation,Phase 1 (KG acceleration clean labs),https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27464846574,workflow_dispatch,completed,success,kg-crosszone-ablation,e8d63e09be504f1dc206737ca8feb05299fe1031,1,2026-06-13T10:59:44Z,2026-06-13T11:45:01Z,,,,phase1-consolidated,,,152,phase1_xzone_ablation,7c114de88374bb003264a994a50db753edc89113258a4a9a1d7f64831911c638,DECLARED_MAPPING_NOT_ZIP_VERIFIED_CANONICAL_HASH,POST_HOC_EXPLORATORY;MECHANISM_ABLATION;NUMERIC_RESULTS_UNRESOLVED,2026-06-15T13:04:27.3504583Z,Ten seed directories and 60 TRAINING_OK markers structurally present; Stage5 methods classification added 2026-06-17T12:14:13Z; numeric row extraction and artifact ZIP byte verification unresolved
27073252484,0,PRE_PIVOT,Sweep_18,Sweep (paper),https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27073252484,workflow_dispatch,completed,success,main,9b2bc9baf4f9ea142a89a85473257c4b521487c2,1,2026-06-06T20:37:35Z,2026-06-07T02:23:43Z,,,,sweep-paper-consolidated,,,77,tmp_sweep18_results,4bfb50bc9eb5481ac27362441c9215b44535ae0650784b46fb20133988ee0de9,DECLARED_MAPPING_MIXED_WITH_LOCAL_RECOMPUTATION_CANONICAL_HASH,UNRESOLVED,2026-06-15T13:04:27.3504583Z,Five seed directories and 30 TRAINING_OK markers structurally present
27094219403,0,PRE_PIVOT,Sweep_n10_replication,Sweep (paper),https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27094219403,workflow_dispatch,completed,success,main,9b2bc9baf4f9ea142a89a85473257c4b521487c2,1,2026-06-07T13:41:00Z,2026-06-07T23:20:40Z,,,,sweep-paper-consolidated,,,152,tmp_sweep_n10_results,0defe493b63063a9dc9dc5315fc394510c6b0ed23ecb3ef8266ba98f43811cdf,DECLARED_MAPPING_MIXED_WITH_LOCAL_RECOMPUTATION_CANONICAL_HASH,UNRESOLVED,2026-06-15T13:04:27.3504583Z,Ten seed directories present but six seed-8 TRAINING_OK markers absent
27470382799,0,PHASE2,phase2_initial_detection_and_relearning,Phase 2 (fault detection blacklist re-learn),https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27470382799,workflow_dispatch,completed,success,phase2-fault-detection,8ff250d8f9664ec0169654161af492e749e81d0e,1,2026-06-13T15:05:24Z,2026-06-13T18:00:56Z,,,,phase2-consolidated,,,122,phase2_results,95744977ac3f2399a4c068a741bfe5d18051c2a230467f5a5c1d2269778eb1ff,DECLARED_MAPPING_NOT_ZIP_VERIFIED_CANONICAL_HASH,UNRESOLVED,2026-06-15T13:04:27.3504583Z,Five recovery seed directories and 90 recovery CSV files structurally present
27499405083,0,PHASE2,phase2_policy_stability_recovery,Phase 2 (fault detection blacklist re-learn),https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27499405083,workflow_dispatch,completed,success,phase2-fault-detection,f4ac3fe8549eaa4948d6a64b9cb87cf06a623143,1,2026-06-14T12:51:03Z,2026-06-14T17:04:57Z,,,,phase2-consolidated,,,242,phase2_results_v2,5354fe2bf014bca618e9eceaed3e40957cda7f85bbf53e5e75f7893bfde99a94,DECLARED_MAPPING_NOT_ZIP_VERIFIED_CANONICAL_HASH,UNRESOLVED,2026-06-15T13:04:27.3504583Z,Ten recovery seed directories and 180 recovery CSV files structurally present
27507087176,0,PHASE2,phase2_goal_rate_certified_recovery,Phase 2 (fault detection blacklist re-learn),https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27507087176,workflow_dispatch,completed,success,phase2-fault-detection,aa74486d2a748a9f75fca2acc28b1599e594ac10,1,2026-06-14T17:49:25Z,2026-06-14T22:19:50Z,,,,phase2-consolidated,,,242,phase2_results_v3,2b6c7b9292b7ae8ce2a9cbcbc0c44bc34945c57d2e9965e977b5dc5c2e676bf1,DECLARED_MAPPING_NOT_ZIP_VERIFIED_CANONICAL_HASH,UNRESOLVED,2026-06-15T13:04:27.3504583Z,Ten recovery seed directories and 360 CSV files structurally present
27529585379,0,PHASE2,phase2_component_attribution_confirmation,Phase 2 (fault detection blacklist re-learn),https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27529585379,workflow_dispatch,completed,success,phase2-fault-detection,2aab559a027468b929cdb5bc83fc402519ccefb2,1,2026-06-15T07:00:58Z,2026-06-15T11:28:30Z,Aggregate recovery & publish,81409489439,https://github.com/esra-dev/MT-PhysicsBAS/actions/runs/27529585379/job/81409489439,phase2-consolidated,7636716341,sha256:278dd690109934a7d4813d1dd991e768ee08c4b3e2e29ca5dfb7e8d32c70c5b1,242,phase2_results_v4,0b65bb2d54dcb5b06a8c179f518480622d715a3688153f53adea990661e41cf1,ARTIFACT_METADATA_CAPTURED_LOCAL_CANONICAL_HASH_RESULTS_COMMIT_TEXT_EQUIVALENT_ZIP_NOT_DOWNLOADED,UNRESOLVED,2026-06-15T13:04:27.3504583Z,Local root is not byte-verified against the artifact ZIP
